text,category,priority,sentiment,resolution_time
Very bad experience Seal was crushed worst experience need urgent help reply fast,Packaging,Medium,-0.643,34
I want to complain The box arrived leaking even I used weight loss supplement and got dizziness,Packaging,High,0.0,5
This is to inform you weight loss supplement order not updated even I think immunity booster is not fresh because I got dizziness kindly resolve,Trade,Medium,0.0,33
Very bad experience My order has wrong billing,Trade,Low,-0.375,118
Product quality is very good,Packaging,Low,0.375,66
Everything is working fine,Trade,Low,0.0,55
"I need help After using energy drink, I faced vomiting frustrated",Product,Medium,-0.375,13
Seal was seal missing plus herbal capsules packaging was crushed not happy,Packaging,Medium,0.167,23
I am happy with the product,Product,Low,0.444,71
I need help protein powder is not fresh extremely upset,Product,Low,-0.375,77
This is to inform you The box arrived torn not happy,Packaging,Low,0.167,96
This is to inform you My order has price confusion reply fast,Trade,Low,0.0,71
There is no stock for vitamin tablets worst experience respond fast urgent,Trade,High,-0.545,7
I need help There is price confusion for weight loss supplement plus Received energy drink in seal missing condition,Trade,Medium,0.0,26
"This is to inform you I used weight loss supplement and got dizziness and After using weight loss supplement, I faced vomiting not happy reply fast",Product,High,0.167,10
I think energy drink is tastes bad because I got headache kindly resolve,Product,Low,-0.375,55
Very bad experience weight loss supplement is tastes bad and There is delivery delay for weight loss supplement respond fast pls help asap,Product,High,-0.5,10
Very bad experience There is no stock for herbal capsules angry kindly resolve,Trade,Medium,-0.583,12
Delivery was fast and smooth,Trade,Low,0.375,92
Very bad experience herbal capsules order not updated plus No response about no stock angry need urgent help,Trade,Medium,-0.583,26
"herbal capsules is rotten but After using weight loss supplement, I faced dizziness this is not acceptable",Product,High,0.0,9
Everything is working fine,Trade,Low,0.0,103
"Facing issue After using energy drink, I faced stomach pain extremely upset please fix this",Product,Low,-0.5,104
Honestly My order has wrong billing frustrated need urgent help urgent,Trade,Medium,-0.375,39
I need help Packaging is completely wet also This energy drink feels expired,Packaging,Medium,0.0,45
Facing issue I am facing price confusion very disappointed need urgent help,Trade,Medium,-0.5,18
Packaging is completely seal missing frustrated,Packaging,Medium,-0.375,48
I want to complain Seal was broken frustrated this is not acceptable pls help asap,Packaging,Medium,-0.545,37
Facing issue I used protein powder and got allergy not good,Product,Medium,-0.286,13
I need help protein powder is rotten frustrated urgent,Product,High,-0.375,9
I need help Packaging is completely already opened even I used weight loss supplement and got burning sensation very disappointed respond fast,Packaging,Medium,-0.375,23
protein powder order not updated also Seal was leaking need urgent help urgent,Trade,High,0.0,3
Honestly herbal capsules is rotten very disappointed kindly resolve,Product,Medium,-0.375,31
Nice experience overall,Product,Low,0.375,103
"I need help After using vitamin tablets, I faced skin rash and There is late shipment for vitamin tablets this is not acceptable urgent",Product,Medium,-0.286,28
Facing issue This vitamin tablets feels tastes bad extremely upset this is not acceptable,Product,Low,-0.615,109
Everything is working fine,Product,Low,0.0,91
I need help I used herbal capsules and got nausea extremely upset,Product,Low,-0.375,76
I want to complain I am facing price confusion even Packaging is completely torn extremely upset not good,Trade,Low,-0.375,87
I need help energy drink is low quality also immunity booster is not fresh,Product,Medium,0.0,46
Honestly Seal was torn,Packaging,Low,0.0,87
I used weight loss supplement and got nausea frustrated urgent,Product,Medium,-0.375,18
weight loss supplement packaging was leaking very bad service,Packaging,Medium,-0.375,14
"No issues, product is perfect",Product,Low,0.375,87
Everything is working fine,Packaging,Low,0.0,107
protein powder packaging was torn worst experience very bad service,Packaging,Low,-0.643,106
I used protein powder and got dizziness worst experience this is not acceptable,Product,Medium,-0.545,24
Facing issue No response about delivery delay angry very bad service,Trade,Medium,-0.722,24
My order has price confusion so The box arrived torn,Trade,Low,0.0,118
Honestly No response about no stock frustrated,Trade,Low,-0.375,51
Facing issue The box arrived seal missing because I think protein powder is low quality because I got skin rash,Packaging,High,-0.286,8
Received immunity booster in crushed condition and protein powder is not fresh,Packaging,Low,0.0,49
energy drink order not updated angry this is not acceptable very bad service,Trade,Low,-0.583,62
Seal was already opened very disappointed pls help asap,Packaging,Medium,-0.375,23
Product quality is very good,Packaging,Low,0.375,68
I need help Received immunity booster in broken condition worst experience  very bad service,Packaging,Medium,-0.706,21
I am facing price confusion worst experience,Trade,Medium,-0.545,15
I need help There is order not updated for energy drink but The box arrived wet frustrated please fix this,Trade,Low,-0.375,50
I used vitamin tablets and got dizziness but Received weight loss supplement in damaged condition kindly resolve,Product,High,-0.375,5
Packaging is completely damaged angry urgent,Packaging,Medium,-0.583,16
I need help This energy drink feels fake frustrated not good,Product,Medium,-0.583,34
I am happy with the product,Packaging,Low,0.444,61
I want to complain There is order not updated for vitamin tablets worst experience pls help asap,Trade,Medium,-0.545,15
"No issues, product is perfect",Product,Low,0.375,49
I used energy drink and got skin rash plus Received immunity booster in damaged condition reply fast,Product,Medium,-0.375,48
Facing issue Packaging is completely wet not happy respond fast not good,Packaging,Low,0.286,71
Very bad experience There is order not updated for weight loss supplement and vitamin tablets packaging was crushed,Trade,Low,-0.375,48
Facing issue The box arrived wet and Seal was crushed angry this is not acceptable,Packaging,Low,-0.545,65
Seal was torn plus The box arrived seal missing kindly resolve pls help asap,Packaging,Medium,0.0,43
"Facing issue After using immunity booster, I faced dizziness plus energy drink packaging was torn angry",Product,Medium,-0.545,45
This is to inform you There is price confusion for energy drink even immunity booster packaging was seal missing,Trade,Medium,0.0,15
Delivery was fast and smooth,Packaging,Low,0.375,109
Very bad experience I used immunity booster and got skin rash not happy,Product,Low,-0.286,95
"This is to inform you After using herbal capsules, I faced nausea angry respond fast",Product,Medium,-0.444,47
I am facing delivery delay please fix this,Trade,Low,-0.286,113
"I want to complain After using protein powder, I faced nausea angry kindly resolve not good",Product,Low,-0.444,93
I am happy with the product,Trade,Low,0.444,106
I want to complain I used vitamin tablets and got dizziness and No response about late shipment respond fast reply fast,Product,High,-0.286,6
immunity booster order not updated  pls help asap,Trade,Medium,0.0,39
This is to inform you I used herbal capsules and got vomiting also I used weight loss supplement and got nausea very disappointed respond fast,Product,High,-0.375,3
My order has late shipment even vitamin tablets is contaminated,Trade,High,-0.286,7
Packaging is completely seal missing,Packaging,Medium,0.0,19
"Very bad experience After using immunity booster, I faced stomach pain but I think energy drink is tastes bad because I got headache very disappointed",Product,Low,-0.545,78
Very bad experience No response about late shipment,Trade,Medium,-0.5,39
I want to complain I think protein powder is not fresh because I got headache frustrated pls help asap,Product,Medium,-0.375,41
"No issues, product is perfect",Packaging,Low,0.375,59
energy drink packaging was damaged but vitamin tablets packaging was crushed frustrated this is not acceptable,Packaging,Medium,-0.545,30
My order has price confusion,Trade,Low,0.0,116
"Honestly After using vitamin tablets, I faced stomach pain",Product,Low,0.0,86
I want to complain I think herbal capsules is expired because I got nausea,Product,Medium,0.0,14
I need help weight loss supplement order not updated so My order has late shipment angry,Trade,Medium,-0.545,39
I need help protein powder order not updated respond fast,Trade,Low,0.0,57
herbal capsules is smells weird so protein powder packaging was seal missing angry please fix this,Product,Medium,-0.444,38
"This is to inform you After using weight loss supplement, I faced allergy not happy respond fast",Product,High,0.167,7
Received herbal capsules in torn condition not happy need urgent help,Packaging,Low,0.167,92
I want to complain This vitamin tablets feels expired frustrated,Product,Medium,-0.375,23
Product quality is very good,Packaging,Low,0.375,105
Honestly Seal was leaking worst experience need urgent help,Packaging,High,-0.545,9
I am happy with the product,Trade,Low,0.444,102
Honestly Received weight loss supplement in torn condition because There is late shipment for herbal capsules please fix this,Packaging,Medium,-0.286,25
Good packaging and good quality,Product,Low,0.375,59
Seal was seal missing,Packaging,Medium,0.0,37
Very satisfied with service,Product,Low,0.444,120
Product quality is very good,Product,Low,0.375,51
I am facing wrong billing angry this is not acceptable not good,Trade,Low,-0.444,112
I need help The box arrived torn plus immunity booster is fake frustrated please fix this,Packaging,Medium,-0.583,31
Product quality is very good,Packaging,Low,0.375,88
Very bad experience Received energy drink in leaking condition so protein powder packaging was already opened angry urgent,Packaging,High,-0.583,7
I need help There is delivery delay for energy drink,Trade,Medium,-0.286,23
I need help Received protein powder in damaged condition not happy,Packaging,Medium,-0.286,48
Facing issue protein powder is expired because My order has wrong billing angry very bad service,Product,Medium,-0.643,26
Product quality is very good,Product,Low,0.375,74
Very bad experience No response about order not updated so I am facing late shipment not happy,Trade,Low,-0.444,91
Facing issue vitamin tablets is smells weird also Seal was torn frustrated,Product,Low,-0.5,66
I want to complain This immunity booster feels smells weird urgent,Product,Medium,0.0,14
Good packaging and good quality,Trade,Low,0.375,58
Facing issue I think energy drink is expired because I got stomach pain not happy  urgent,Product,High,-0.167,4
Honestly There is late shipment for protein powder,Trade,Medium,-0.286,27
No response about late shipment and This energy drink feels fake this is not acceptable urgent,Trade,High,-0.545,5
Very bad experience The box arrived already opened but energy drink order not updated angry  pls help asap,Packaging,High,-0.583,2
"After using vitamin tablets, I faced nausea this is not acceptable not good",Product,Low,0.0,72
There is price confusion for vitamin tablets because I am facing delivery delay not happy respond fast,Trade,Medium,-0.167,13
Honestly energy drink packaging was crushed angry this is not acceptable,Packaging,Low,-0.444,119
Good packaging and good quality,Trade,Low,0.375,90
No response about delivery delay and Packaging is completely crushed angry,Trade,Medium,-0.545,13
"Facing issue After using energy drink, I faced stomach pain frustrated",Product,Low,-0.5,82
I want to complain This immunity booster feels rotten but This immunity booster feels expired frustrated very bad service,Product,High,-0.545,5
I need help Packaging is completely leaking so Seal was seal missing very disappointed this is not acceptable,Packaging,Medium,-0.375,13
Everything is working fine,Product,Low,0.0,86
No response about wrong billing,Trade,Low,0.0,97
Facing issue No response about order not updated because I am facing wrong billing angry this is not acceptable,Trade,Low,-0.545,120
immunity booster is expired frustrated,Product,Medium,-0.375,43
Very satisfied with service,Trade,Low,0.444,54
My order has order not updated angry,Trade,Low,-0.444,72
I think vitamin tablets is contaminated because I got dizziness and The box arrived crushed not happy this is not acceptable,Product,High,0.167,5
Facing issue I am facing late shipment because energy drink order not updated,Trade,Medium,-0.444,19
This is to inform you The box arrived seal missing because Packaging is completely already opened very disappointed  pls help asap,Packaging,High,-0.375,7
Packaging is completely torn also The box arrived damaged this is not acceptable,Packaging,Low,-0.375,108
herbal capsules order not updated worst experience,Trade,Low,-0.545,65
"I need help After using protein powder, I faced vomiting kindly resolve pls help asap",Product,High,0.0,8
I need help I think immunity booster is smells weird because I got allergy,Product,Medium,0.0,21
This immunity booster feels smells weird not happy this is not acceptable pls help asap,Product,Medium,0.167,40
This vitamin tablets feels smells weird so Received protein powder in already opened condition extremely upset,Product,Medium,-0.375,32
Honestly Seal was crushed also Seal was torn angry urgent,Packaging,Medium,-0.444,22
I need help There is no stock for weight loss supplement so I am facing no stock frustrated not good,Trade,Low,-0.375,48
This is to inform you immunity booster packaging was damaged so vitamin tablets order not updated extremely upset,Packaging,Low,-0.545,118
weight loss supplement packaging was torn so This immunity booster feels not fresh worst experience urgent,Packaging,Medium,-0.545,30
herbal capsules packaging was wet so immunity booster order not updated very disappointed pls help asap,Packaging,Medium,-0.375,19
Facing issue My order has order not updated,Trade,Low,-0.286,112
I want to complain Packaging is completely already opened because The box arrived damaged angry very bad service,Packaging,Medium,-0.667,43
This is to inform you weight loss supplement order not updated worst experience,Trade,Low,-0.545,53
Honestly No response about price confusion,Trade,Low,0.0,108
I am happy with the product,Product,Low,0.444,120
Packaging is completely crushed this is not acceptable,Packaging,Low,0.0,115
vitamin tablets order not updated frustrated reply fast,Trade,Low,-0.375,118
"No issues, product is perfect",Trade,Low,0.375,67
Honestly This immunity booster feels tastes bad,Product,Low,-0.375,114
"After using weight loss supplement, I faced dizziness worst experience  reply fast",Product,High,-0.545,6
"I need help After using protein powder, I faced dizziness plus The box arrived leaking extremely upset",Product,High,-0.375,9
This herbal capsules feels not fresh very bad service,Product,Low,-0.375,107
Everything is working fine,Product,Low,0.0,75
"This energy drink feels smells weird so After using protein powder, I faced burning sensation frustrated",Product,Low,-0.375,66
Good packaging and good quality,Trade,Low,0.375,96
Very satisfied with service,Product,Low,0.444,91
There is late shipment for vitamin tablets so vitamin tablets order not updated,Trade,Low,-0.286,99
I think energy drink is smells weird because I got vomiting also No response about late shipment this is not acceptable,Product,High,-0.286,5
Delivery was fast and smooth,Packaging,Low,0.375,107
"After using energy drink, I faced headache also I used herbal capsules and got burning sensation frustrated",Product,Low,-0.375,64
"Facing issue After using herbal capsules, I faced vomiting please fix this",Product,Medium,-0.286,17
weight loss supplement is not fresh need urgent help urgent,Product,Medium,0.0,45
Seal was seal missing plus I think weight loss supplement is low quality because I got skin rash not happy kindly resolve reply fast,Packaging,High,0.167,4
I want to complain There is wrong billing for immunity booster plus vitamin tablets is contaminated extremely upset,Trade,Medium,-0.375,38
No response about wrong billing,Trade,Low,0.0,65
immunity booster is not fresh,Product,Low,0.0,115
This is to inform you Received herbal capsules in torn condition because immunity booster is low quality extremely upset,Packaging,Low,-0.375,115
Delivery was fast and smooth,Product,Low,0.375,117
"Facing issue After using immunity booster, I faced skin rash plus No response about price confusion urgent",Product,Medium,-0.286,23
Very bad experience immunity booster is tastes bad but I used immunity booster and got skin rash not happy need urgent help reply fast,Product,Medium,-0.286,41
Very bad experience This immunity booster feels contaminated please fix this not good,Product,Medium,-0.375,42
immunity booster is rotten angry please fix this,Product,Medium,-0.444,26
No response about price confusion frustrated kindly resolve,Trade,Low,-0.375,79
Honestly Received vitamin tablets in already opened condition extremely upset please fix this not good,Packaging,Low,-0.375,76
Everything is working fine,Packaging,Low,0.0,85
Facing issue My order has price confusion,Trade,Low,-0.286,69
I am happy with the product,Trade,Low,0.444,89
This is to inform you The box arrived wet also Packaging is completely seal missing worst experience respond fast,Packaging,Medium,-0.545,26
My order has order not updated because The box arrived broken kindly resolve urgent,Trade,Medium,-0.375,33
This is to inform you herbal capsules is smells weird not good,Product,Low,0.0,110
Delivery was fast and smooth,Packaging,Low,0.375,116
This is to inform you Seal was seal missing even I used immunity booster and got nausea worst experience respond fast not good,Packaging,Medium,-0.545,37
Honestly There is wrong billing for immunity booster,Trade,Low,0.0,75
Everything is working fine,Trade,Low,0.0,79
Good packaging and good quality,Product,Low,0.375,59
Facing issue This protein powder feels fake because Received vitamin tablets in crushed condition angry please fix this,Product,Medium,-0.667,19
The box arrived broken so I used immunity booster and got burning sensation angry this is not acceptable,Packaging,Medium,-0.583,38
I am happy with the product,Trade,Low,0.444,69
Good packaging and good quality,Trade,Low,0.375,73
No response about order not updated and energy drink order not updated angry,Trade,Low,-0.444,81
Very bad experience I think energy drink is expired because I got stomach pain and Received vitamin tablets in damaged condition very disappointed,Product,High,-0.643,9
Delivery was fast and smooth,Product,Low,0.375,59
Nice experience overall,Trade,Low,0.375,71
"No issues, product is perfect",Trade,Low,0.375,65
This is to inform you This energy drink feels expired not happy respond fast urgent,Product,High,0.167,10
I need help My order has no stock and The box arrived leaking,Trade,Medium,0.0,41
I used vitamin tablets and got dizziness plus protein powder packaging was broken,Product,High,-0.375,8
This is to inform you weight loss supplement packaging was already opened not happy,Packaging,Medium,0.167,28
Facing issue I used immunity booster and got nausea so This energy drink feels smells weird,Product,Low,-0.286,56
No response about no stock urgent,Trade,Medium,0.0,18
Facing issue Seal was already opened please fix this,Packaging,Medium,-0.286,26
protein powder order not updated respond fast,Trade,Medium,0.0,44
This is to inform you No response about delivery delay plus Received herbal capsules in seal missing condition very disappointed,Trade,High,-0.5,7
I think vitamin tablets is expired because I got skin rash please fix this,Product,Medium,0.0,45
Very bad experience I think vitamin tablets is contaminated because I got burning sensation not happy not good,Product,Medium,0.167,36
Facing issue I used energy drink and got nausea so herbal capsules is rotten  reply fast,Product,Medium,-0.286,21
weight loss supplement packaging was damaged and immunity booster order not updated frustrated please fix this,Packaging,Medium,-0.545,46
I think energy drink is fake because I got dizziness so herbal capsules order not updated not happy this is not acceptable,Product,High,-0.375,7
I think vitamin tablets is rotten because I got skin rash,Product,Medium,0.0,14
Very bad experience Received energy drink in damaged condition respond fast,Packaging,Medium,-0.545,26
I need help Seal was crushed not happy,Packaging,Low,0.167,85
This is to inform you I am facing order not updated even Received protein powder in leaking condition angry kindly resolve,Trade,Medium,-0.444,33
vitamin tablets is expired so immunity booster is smells weird extremely upset,Product,Medium,-0.375,17
Product quality is very good,Trade,Low,0.375,64
immunity booster order not updated angry,Trade,Low,-0.444,55
This weight loss supplement feels low quality respond fast reply fast,Product,Medium,0.0,35
Honestly This energy drink feels fake so protein powder packaging was broken frustrated,Product,High,-0.667,9
I am happy with the product,Product,Low,0.444,54
My order has price confusion pls help asap,Trade,Medium,0.0,40
There is no stock for vitamin tablets worst experience reply fast,Trade,Medium,-0.545,33
Very bad experience I used protein powder and got allergy frustrated urgent,Product,High,-0.545,3
No response about late shipment angry,Trade,Medium,-0.545,27
I need help There is price confusion for protein powder angry not good,Trade,Low,-0.444,120
This is to inform you There is price confusion for vitamin tablets plus I think vitamin tablets is tastes bad because I got nausea,Trade,Low,-0.375,89
This immunity booster feels contaminated very disappointed respond fast,Product,Medium,-0.375,25
herbal capsules packaging was crushed worst experience please fix this pls help asap,Packaging,Medium,-0.545,24
"No issues, product is perfect",Product,Low,0.375,119
I need help energy drink packaging was leaking,Packaging,Medium,0.0,12
Packaging is completely already opened not happy please fix this urgent,Packaging,Medium,0.167,38
Product quality is very good,Product,Low,0.375,58
Nice experience overall,Product,Low,0.375,59
Nice experience overall,Packaging,Low,0.375,116
Facing issue No response about wrong billing worst experience,Trade,Low,-0.615,55
vitamin tablets order not updated not happy very bad service,Trade,Low,-0.286,73
"This is to inform you vitamin tablets order not updated even After using immunity booster, I faced headache angry",Trade,Low,-0.444,70
Facing issue Seal was broken but Packaging is completely wet,Packaging,Low,-0.583,102
Delivery was fast and smooth,Trade,Medium,0.375,25
This is to inform you This herbal capsules feels rotten also The box arrived leaking this is not acceptable urgent,Product,High,0.0,5
This herbal capsules feels expired also This immunity booster feels expired please fix this very bad service,Product,Medium,-0.375,44
Nice experience overall,Product,Low,0.375,101
Seal was torn frustrated,Packaging,Low,-0.375,113
Very bad experience My order has no stock plus My order has wrong billing kindly resolve,Trade,Low,-0.375,95
Product quality is very good,Trade,Low,0.375,64
"No issues, product is perfect",Trade,Low,0.375,108
"Very bad experience I think protein powder is low quality because I got allergy and After using immunity booster, I faced nausea not happy",Product,High,-0.286,4
"No issues, product is perfect",Trade,Low,0.375,112
I need help I am facing wrong billing,Trade,Low,0.0,53
Seal was seal missing very disappointed this is not acceptable,Packaging,Low,-0.375,58
I think immunity booster is tastes bad because I got nausea not happy,Product,Low,-0.286,112
I want to complain This herbal capsules feels fake worst experience this is not acceptable,Product,Medium,-0.667,38
Seal was broken not happy,Packaging,Medium,-0.286,41
Nice experience overall,Trade,Low,0.375,74
energy drink is fake but There is price confusion for herbal capsules not happy,Product,Medium,-0.375,17
The box arrived already opened,Packaging,Medium,0.0,44
protein powder is smells weird so No response about delivery delay,Product,Low,-0.286,90
vitamin tablets order not updated and There is no stock for immunity booster angry,Trade,Low,-0.444,97
This weight loss supplement feels contaminated also protein powder order not updated reply fast,Product,High,0.0,7
I am facing no stock frustrated kindly resolve,Trade,Low,-0.375,114
My order has late shipment but vitamin tablets packaging was broken angry urgent,Trade,High,-0.643,3
I want to complain This protein powder feels contaminated so I used energy drink and got stomach pain this is not acceptable not good,Product,Medium,0.0,36
energy drink order not updated also Packaging is completely crushed,Trade,Low,0.0,103
I am facing wrong billing worst experience,Trade,Low,-0.545,86
Good packaging and good quality,Product,Low,0.375,96
There is wrong billing for immunity booster kindly resolve,Trade,Low,0.0,66
Honestly Received protein powder in broken condition angry,Packaging,Medium,-0.583,41
This weight loss supplement feels smells weird,Product,Low,0.0,92
This is to inform you Packaging is completely torn also This protein powder feels rotten,Packaging,Medium,0.0,20
"I want to complain After using immunity booster, I faced headache",Product,Low,0.0,70
Received energy drink in broken condition angry very bad service,Packaging,Medium,-0.667,48
My order has late shipment please fix this,Trade,Medium,-0.286,19
"Very bad experience After using herbal capsules, I faced dizziness this is not acceptable",Product,Medium,-0.375,12
immunity booster packaging was leaking respond fast reply fast,Packaging,Medium,0.0,44
This is to inform you Received weight loss supplement in seal missing condition need urgent help,Packaging,Medium,0.0,31
immunity booster is low quality reply fast,Product,Medium,0.0,45
I am happy with the product,Packaging,Low,0.444,72
Facing issue Packaging is completely leaking please fix this,Packaging,Low,-0.286,72
This is to inform you energy drink order not updated very disappointed,Trade,Low,-0.375,61
This is to inform you I used vitamin tablets and got skin rash also The box arrived leaking extremely upset please fix this,Product,Medium,-0.375,38
Very bad experience I am facing order not updated plus Packaging is completely crushed,Trade,Low,-0.375,111
protein powder is expired need urgent help,Product,High,0.0,9
Very bad experience immunity booster packaging was already opened very disappointed kindly resolve,Packaging,Medium,-0.545,34
Received immunity booster in crushed condition angry,Packaging,Low,-0.444,66
"After using immunity booster, I faced vomiting because After using energy drink, I faced stomach pain extremely upset this is not acceptable",Product,Medium,-0.375,43
Product quality is very good,Product,Low,0.375,88
Very bad experience weight loss supplement order not updated also The box arrived broken extremely upset,Trade,Medium,-0.643,35
Very bad experience protein powder order not updated also energy drink packaging was broken,Trade,Low,-0.545,117
Very bad experience This immunity booster feels rotten so protein powder is rotten,Product,Medium,-0.375,23
I think herbal capsules is rotten because I got headache not happy,Product,Medium,0.167,34
Honestly I used weight loss supplement and got nausea worst experience very bad service,Product,Low,-0.643,75
Honestly I am facing price confusion so The box arrived wet need urgent help,Trade,Medium,0.0,36
"Very bad experience My order has order not updated so After using weight loss supplement, I faced dizziness need urgent help",Trade,High,-0.375,2
Honestly This immunity booster feels not fresh,Product,Low,0.0,66
Everything is working fine,Product,Low,0.0,99
Good packaging and good quality,Trade,Low,0.375,89
Everything is working fine,Packaging,Low,0.0,65
"I want to complain I think energy drink is not fresh because I got allergy and After using protein powder, I faced vomiting angry",Product,High,-0.444,2
I need help I think immunity booster is tastes bad because I got dizziness because I am facing delivery delay frustrated very bad service,Product,High,-0.615,9
I need help I am facing order not updated so Seal was seal missing worst experience need urgent help not good,Trade,High,-0.545,7
I want to complain I used protein powder and got skin rash but energy drink order not updated reply fast,Product,Low,0.0,84
This is to inform you No response about price confusion need urgent help urgent,Trade,Medium,0.0,35
vitamin tablets packaging was leaking respond fast,Packaging,Medium,0.0,37
This is to inform you The box arrived torn even The box arrived crushed this is not acceptable reply fast,Packaging,Low,0.0,95
Honestly Packaging is completely broken angry need urgent help,Packaging,Medium,-0.583,25
Received vitamin tablets in wet condition also Seal was broken very disappointed need urgent help,Packaging,Medium,-0.545,14
Delivery was fast and smooth,Packaging,Low,0.375,100
I am happy with the product,Packaging,Low,0.444,92
Facing issue Packaging is completely seal missing very disappointed respond fast,Packaging,Medium,-0.5,34
I want to complain No response about price confusion even There is no stock for vitamin tablets not happy,Trade,Low,0.167,93
Honestly Seal was crushed respond fast,Packaging,Low,0.0,98
This is to inform you I used energy drink and got vomiting frustrated,Product,Medium,-0.375,43
energy drink order not updated extremely upset need urgent help not good,Trade,Medium,-0.375,40
Facing issue This weight loss supplement feels fake plus vitamin tablets order not updated angry this is not acceptable,Product,Medium,-0.667,26
Honestly Seal was already opened very bad service,Packaging,Medium,-0.375,18
I am facing no stock but I think vitamin tablets is contaminated because I got dizziness frustrated,Trade,High,-0.375,5
I want to complain The box arrived wet but protein powder is fake respond fast,Packaging,Medium,-0.444,46
Honestly I think weight loss supplement is tastes bad because I got skin rash also I am facing no stock frustrated please fix this,Product,Low,-0.545,117
Very bad experience I used immunity booster and got burning sensation plus Received immunity booster in already opened condition respond fast,Product,Medium,-0.375,44
Delivery was fast and smooth,Packaging,Low,0.375,83
Packaging is completely crushed kindly resolve reply fast,Packaging,Low,0.0,67
Product quality is very good,Product,Low,0.375,98
Honestly I am facing wrong billing even I used energy drink and got skin rash angry,Trade,Low,-0.444,49
Very bad experience Seal was already opened not happy reply fast,Packaging,Medium,-0.286,39
I used energy drink and got skin rash very bad service,Product,Low,-0.375,87
Honestly I am facing wrong billing,Trade,Low,0.0,69
Seal was seal missing because No response about late shipment,Packaging,Medium,-0.286,15
Very bad experience The box arrived crushed because I think vitamin tablets is contaminated because I got skin rash respond fast pls help asap,Packaging,High,-0.375,8
"Honestly After using weight loss supplement, I faced allergy not happy",Product,Medium,0.167,34
Very satisfied with service,Product,Low,0.444,53
I think weight loss supplement is fake because I got dizziness plus I think vitamin tablets is contaminated because I got stomach pain this is not acceptable urgent,Product,High,-0.444,3
My order has late shipment even This weight loss supplement feels low quality frustrated reply fast,Trade,High,-0.5,3
This is to inform you protein powder is low quality kindly resolve,Product,Medium,0.0,12
Packaging is completely already opened because herbal capsules order not updated worst experience this is not acceptable,Packaging,Medium,-0.545,45
Honestly This energy drink feels contaminated also There is wrong billing for energy drink,Product,Medium,0.0,39
I want to complain No response about price confusion angry please fix this,Trade,Medium,-0.444,39
I think herbal capsules is contaminated because I got dizziness frustrated,Product,High,-0.375,6
Facing issue protein powder order not updated,Trade,Low,-0.286,89
I am facing late shipment and energy drink packaging was torn extremely upset,Trade,Medium,-0.5,40
Very satisfied with service,Packaging,Low,0.444,90
"I want to complain After using energy drink, I faced stomach pain also After using protein powder, I faced stomach pain",Product,Low,0.0,118
This is to inform you There is late shipment for weight loss supplement even This herbal capsules feels expired,Trade,High,-0.286,2
I am facing delivery delay not happy,Trade,Medium,-0.167,17
Facing issue The box arrived wet but I used immunity booster and got vomiting pls help asap,Packaging,High,-0.286,7
No response about order not updated plus The box arrived broken extremely upset,Trade,Low,-0.545,92
Honestly Packaging is completely seal missing,Packaging,Low,0.0,82
immunity booster is smells weird respond fast,Product,Low,0.0,86
I need help herbal capsules is contaminated and immunity booster is tastes bad kindly resolve pls help asap,Product,High,-0.375,8
energy drink is expired,Product,Medium,0.0,16
Very satisfied with service,Trade,Low,0.444,89
energy drink is not fresh not happy please fix this reply fast,Product,Low,0.167,105
This is to inform you The box arrived seal missing but I am facing no stock angry,Packaging,Medium,-0.444,18
Product quality is very good,Packaging,Low,0.375,94
Packaging is completely seal missing because Seal was already opened kindly resolve,Packaging,Medium,0.0,14
I think herbal capsules is contaminated because I got headache but Seal was broken very disappointed,Product,High,-0.545,7
I need help Packaging is completely broken please fix this,Packaging,Low,-0.375,52
I need help Seal was damaged very bad service,Packaging,Low,-0.545,101
"No issues, product is perfect",Trade,Low,0.375,91
Facing issue There is late shipment for energy drink extremely upset please fix this pls help asap,Trade,Medium,-0.583,27
I want to complain The box arrived already opened angry respond fast,Packaging,Medium,-0.444,17
I think herbal capsules is smells weird because I got burning sensation very disappointed need urgent help,Product,Medium,-0.375,33
I need help herbal capsules packaging was damaged because I used immunity booster and got vomiting pls help asap,Packaging,High,-0.375,7
I need help The box arrived crushed but Seal was already opened extremely upset please fix this reply fast,Packaging,Medium,-0.375,41
This is to inform you energy drink order not updated because My order has order not updated angry urgent,Trade,Medium,-0.444,44
Delivery was fast and smooth,Trade,Medium,0.375,30
Packaging is completely damaged and immunity booster packaging was damaged very disappointed,Packaging,Low,-0.545,67
I used immunity booster and got allergy also herbal capsules is smells weird extremely upset,Product,Medium,-0.375,41
herbal capsules order not updated so I used energy drink and got stomach pain angry kindly resolve pls help asap,Trade,Medium,-0.444,36
This weight loss supplement feels rotten kindly resolve,Product,Medium,0.0,21
Honestly I used protein powder and got burning sensation not happy,Product,Low,0.167,81
I think weight loss supplement is expired because I got vomiting because I think energy drink is low quality because I got skin rash frustrated very bad service,Product,High,-0.545,7
The box arrived damaged respond fast,Packaging,Medium,-0.375,28
Nice experience overall,Product,Low,0.375,117
I want to complain Packaging is completely already opened not happy pls help asap,Packaging,Medium,0.167,46
Facing issue vitamin tablets order not updated even herbal capsules is expired angry,Trade,Medium,-0.545,25
This is to inform you I think herbal capsules is not fresh because I got headache because Seal was torn extremely upset not good,Product,Low,-0.375,78
"Honestly After using herbal capsules, I faced vomiting kindly resolve",Product,Medium,0.0,39
